UNet | patch_size: 512 | pos_weight: 8.0

train 1/6:  10%|█         | 88/875 [00:37<05:27,  2.40it/s]
train 1/6:  10%|█         | 89/875 [00:37<05:27,  2.40it/s]
train 1/6:  10%|█         | 90/875 [00:38<05:26,  2.40it/s]
train 1/6:  10%|█         | 91/875 [00:38<05:26,  2.40it/s]
train 1/6:  11%|█         | 92/875 [00:39<05:26,  2.40it/s]
train 1/6:  11%|█         | 93/875 [00:39<05:25,  2.40it/s]
train 1/6:  11%|█         | 94/875 [00:39<05:25,  2.40it/s]
train 1/6:  11%|█         | 95/875 [00:40<05:24,  2.40it/s]
train 1/6:  11%|█         | 96/875 [00:40<05:24,  2.40it/s]
train 1/6:  11%|█         | 97/875 [00:41<05:24,  2.40it/s]
train 1/6:  11%|█         | 98/875 [00:41<05:24,  2.40it/s]
train 1/6:  11%|█▏        | 99/875 [00:42<05:23,  2.40it/s]
train 1/6:  11%|█▏        | 100/875 [00:42<05:23,  2.40it/s]
train 1/6:  12%|█▏        | 101/875 [00:42<05:23,  2.40it/s]
train 1/6:  12%|█▏        | 102/875 [00:43<05:22,  2.40it/s]
train 1/6:  12%|█▏        | 103/875 [00:43<05:22,  2.40it/s]
train 1/6:  12%|█▏        | 104/875 [00:44<05:21,  2.40it/s]
train 1/6:  12%|█▏        | 105/875 [00:44<05:21,  2.39it/s]
train 1/6:  12%|█▏        | 106/875 [00:44<05:21,  2.39it/s]
train 1/6:  12%|█▏        | 107/875 [00:45<05:20,  2.39it/s]
train 1/6:  12%|█▏        | 108/875 [00:45<05:20,  2.39it/s]
train 1/6:  12%|█▏        | 109/875 [00:46<05:20,  2.39it/s]
train 1/6:  13%|█▎        | 110/875 [00:46<05:19,  2.39it/s]
train 1/6:  13%|█▎        | 111/875 [00:47<05:19,  2.39it/s]
train 1/6:  13%|█▎        | 112/875 [00:47<05:19,  2.39it/s]
train 1/6:  13%|█▎        | 113/875 [00:47<05:18,  2.39it/s]
train 1/6:  13%|█▎        | 114/875 [00:48<05:18,  2.39it/s]
train 1/6:  13%|█▎        | 115/875 [00:48<05:17,  2.39it/s]
train 1/6:  13%|█▎        | 116/875 [00:49<05:17,  2.39it/s]
train 1/6:  13%|█▎        | 117/875 [00:49<05:17,  2.39it/s]
train 1/6:  13%|█▎        | 118/875 [00:49<05:16,  2.39it/s]
train 1/6:  14%|█▎        | 119/875 [00:50<05:16,  2.39it/s]
train 1/6:  14%|█▎        | 120/875 [00:50<05:16,  2.39it/s]
train 1/6:  14%|█▍        | 121/875 [00:51<05:15,  2.39it/s]
train 1/6:  14%|█▍        | 122/875 [00:51<05:15,  2.39it/s]
train 1/6:  14%|█▍        | 123/875 [00:52<05:14,  2.39it/s]
train 1/6:  14%|█▍        | 124/875 [00:52<05:14,  2.39it/s]
train 1/6:  14%|█▍        | 125/875 [00:52<05:14,  2.39it/s]
train 1/6:  14%|█▍        | 126/875 [00:53<05:13,  2.39it/s]
train 1/6:  15%|█▍        | 127/875 [00:53<05:13,  2.39it/s]
train 1/6:  15%|█▍        | 128/875 [00:54<05:12,  2.39it/s]
train 1/6:  15%|█▍        | 129/875 [00:54<05:12,  2.39it/s]
train 1/6:  15%|█▍        | 130/875 [00:54<05:12,  2.39it/s]
train 1/6:  15%|█▍        | 131/875 [00:55<05:11,  2.39it/s]
train 1/6:  15%|█▌        | 132/875 [00:55<05:11,  2.39it/s]
train 1/6:  15%|█▌        | 133/875 [00:56<05:10,  2.39it/s]
train 1/6:  15%|█▌        | 134/875 [00:56<05:10,  2.39it/s]
train 1/6:  15%|█▌        | 135/875 [00:57<05:10,  2.38it/s]
train 1/6:  16%|█▌        | 136/875 [00:57<05:09,  2.39it/s]
train 1/6:  16%|█▌        | 137/875 [00:57<05:09,  2.39it/s]
train 1/6:  16%|█▌        | 138/875 [00:58<05:09,  2.39it/s]
train 1/6:  16%|█▌        | 139/875 [00:58<05:08,  2.38it/s]
train 1/6:  16%|█▌        | 140/875 [00:59<05:08,  2.38it/s]
train 1/6:  16%|█▌        | 141/875 [00:59<05:08,  2.38it/s]
train 1/6:  16%|█▌        | 142/875 [01:00<05:08,  2.38it/s]
train 1/6:  16%|█▋        | 143/875 [01:00<05:07,  2.38it/s]
train 1/6:  16%|█▋        | 144/875 [01:00<05:07,  2.38it/s]
train 1/6:  17%|█▋        | 145/875 [01:01<05:07,  2.38it/s]
train 1/6:  17%|█▋        | 146/875 [01:01<05:06,  2.38it/s]
train 1/6:  17%|█▋        | 147/875 [01:02<05:06,  2.38it/s]
train 1/6:  17%|█▋        | 148/875 [01:02<05:06,  2.38it/s]
train 1/6:  17%|█▋        | 149/875 [01:02<05:05,  2.38it/s]
train 1/6:  17%|█▋        | 150/875 [01:03<05:05,  2.38it/s]
train 1/6:  17%|█▋        | 151/875 [01:03<05:05,  2.37it/s]
