/home/yuvalsi2/.conda/envs/crackseg/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
UNet | Train Samples: 7000 | Batches: 875

train 1/20:   0%|          | 0/875 [00:00<?, ?it/s]
train 1/20:   0%|          | 0/875 [00:01<?, ?it/s, loss=0.9057]
train 1/20:   4%|▍         | 35/875 [00:16<05:59,  2.34it/s, loss=0.7181]
train 1/20:   4%|▍         | 36/875 [00:16<05:59,  2.33it/s, loss=0.7181]
train 1/20:   4%|▍         | 36/875 [00:16<05:59,  2.33it/s, loss=0.7217]
train 1/20:   4%|▍         | 37/875 [00:16<05:59,  2.33it/s, loss=0.7217]
train 1/20:   4%|▍         | 37/875 [00:17<05:59,  2.33it/s, loss=0.7090]
train 1/20:   4%|▍         | 38/875 [00:17<05:58,  2.33it/s, loss=0.7090]
train 1/20:   4%|▍         | 38/875 [00:17<05:58,  2.33it/s, loss=0.7659]
train 1/20:   4%|▍         | 39/875 [00:17<05:59,  2.33it/s, loss=0.7659]
train 1/20:   4%|▍         | 39/875 [00:17<05:59,  2.33it/s, loss=0.6964]
train 1/20:   5%|▍         | 40/875 [00:17<05:58,  2.33it/s, loss=0.6964]
train 1/20:   5%|▍         | 40/875 [00:18<05:58,  2.33it/s, loss=0.7680]
train 1/20:   5%|▍         | 41/875 [00:18<05:57,  2.33it/s, loss=0.7680]
train 1/20:   5%|▍         | 41/875 [00:18<05:57,  2.33it/s, loss=0.7140]
train 1/20:   5%|▍         | 42/875 [00:18<05:57,  2.33it/s, loss=0.7140]
train 1/20:   5%|▍         | 42/875 [00:19<05:57,  2.33it/s, loss=0.7271]
train 1/20:   5%|▍         | 43/875 [00:19<05:57,  2.33it/s, loss=0.7271]
train 1/20:   5%|▍         | 43/875 [00:19<05:57,  2.33it/s, loss=0.7090]
train 1/20:   5%|▌         | 44/875 [00:19<05:56,  2.33it/s, loss=0.7090]
train 1/20:   5%|▌         | 44/875 [00:20<05:56,  2.33it/s, loss=0.7217]
train 1/20:   5%|▌         | 45/875 [00:20<05:55,  2.34it/s, loss=0.7217]
train 1/20:   5%|▌         | 45/875 [00:20<05:55,  2.34it/s, loss=0.7399]
train 1/20:   5%|▌         | 46/875 [00:20<05:54,  2.34it/s, loss=0.7399]
train 1/20:   5%|▌         | 46/875 [00:20<05:54,  2.34it/s, loss=0.8068]
train 1/20:   5%|▌         | 47/875 [00:20<05:53,  2.34it/s, loss=0.8068]
train 1/20:   5%|▌         | 47/875 [00:21<05:53,  2.34it/s, loss=0.7229]
train 1/20:   5%|▌         | 48/875 [00:21<05:53,  2.34it/s, loss=0.7229]
train 1/20:   5%|▌         | 48/875 [00:21<05:53,  2.34it/s, loss=0.7249]
train 1/20:   6%|▌         | 49/875 [00:21<05:52,  2.34it/s, loss=0.7249]
train 1/20:   6%|▌         | 49/875 [00:22<05:52,  2.34it/s, loss=0.7270]
train 1/20:   6%|▌         | 50/875 [00:22<05:52,  2.34it/s, loss=0.7270]
train 1/20:   6%|▌         | 50/875 [00:22<05:52,  2.34it/s, loss=0.7525]
train 1/20:   6%|▌         | 51/875 [00:22<05:52,  2.34it/s, loss=0.7525]
train 1/20:   6%|▌         | 51/875 [00:23<05:52,  2.34it/s, loss=0.6971]
train 1/20:   6%|▌         | 52/875 [00:23<05:52,  2.34it/s, loss=0.6971]
train 1/20:   6%|▌         | 52/875 [00:23<05:52,  2.34it/s, loss=0.6853]
train 1/20:   6%|▌         | 53/875 [00:23<05:51,  2.34it/s, loss=0.6853]
train 1/20:   6%|▌         | 53/875 [00:23<05:51,  2.34it/s, loss=0.7533]
train 1/20:   6%|▌         | 54/875 [00:23<05:50,  2.34it/s, loss=0.7533]
train 1/20:   6%|▌         | 54/875 [00:24<05:50,  2.34it/s, loss=0.6952]
train 1/20:   6%|▋         | 55/875 [00:24<05:50,  2.34it/s, loss=0.6952]
train 1/20:   6%|▋         | 55/875 [00:24<05:50,  2.34it/s, loss=0.8058]
train 1/20:   6%|▋         | 56/875 [00:24<05:50,  2.34it/s, loss=0.8058]
train 1/20:   6%|▋         | 56/875 [00:25<05:50,  2.34it/s, loss=0.7349]
train 1/20:   7%|▋         | 57/875 [00:25<05:50,  2.34it/s, loss=0.7349]
train 1/20:   7%|▋         | 57/875 [00:25<05:50,  2.34it/s, loss=0.7266]
train 1/20:   7%|▋         | 58/875 [00:25<05:49,  2.34it/s, loss=0.7266]
train 1/20:   7%|▋         | 58/875 [00:26<05:49,  2.34it/s, loss=0.7054]
train 1/20:   7%|▋         | 59/875 [00:26<05:48,  2.34it/s, loss=0.7054]
train 1/20:   7%|▋         | 59/875 [00:26<05:48,  2.34it/s, loss=0.7177]
train 1/20:   7%|▋         | 60/875 [00:26<05:48,  2.34it/s, loss=0.7177]
train 1/20:   7%|▋         | 60/875 [00:26<05:48,  2.34it/s, loss=0.7034]
train 1/20:   7%|▋         | 61/875 [00:26<05:47,  2.34it/s, loss=0.7034]
train 1/20:   7%|▋         | 61/875 [00:27<05:47,  2.34it/s, loss=0.7047]
train 1/20:   7%|▋         | 62/875 [00:27<05:47,  2.34it/s, loss=0.7047]
train 1/20:   7%|▋         | 62/875 [00:27<05:47,  2.34it/s, loss=0.7161]
train 1/20:   7%|▋         | 63/875 [00:27<05:47,  2.34it/s, loss=0.7161]
train 1/20:   7%|▋         | 63/875 [00:28<05:47,  2.34it/s, loss=0.7014]
train 1/20:   7%|▋         | 64/875 [00:28<05:47,  2.33it/s, loss=0.7014]
train 1/20:   7%|▋         | 64/875 [00:28<05:47,  2.33it/s, loss=0.6746]
